SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks
559,2015-01-05,Foodpanda,Consumer Internet,Online Food Delivery,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,60000000,Series D
1668,2015-01-05,Termsheet,Finance,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,1750000,
95,2015-01-06,Arth DesignBuild,Technology,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,500000,
350,2015-01-06,CredR,E-Commerce,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,12500000,
1055,2015-01-06,Meritnation,Education,Online Learning Platform,New Delhi,InfoEdge,Private Equity,500000,Series C
1340,2015-01-06,Proviera,Technology,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,1000000,
1753,2015-01-06,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,100000000,
1821,2015-01-06,Veeba Foods,FMCG,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,600000,Series B
1863,2015-01-06,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Aprameya Radhakrishna,Seed Funding,16600,
304,2015-01-07,Cloudcherry Analytics,Technology,CRM - Analytics platform,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,700000,
682,2015-01-07,HandyHome,Consumer Internet,Hyperlocal Electronics repair Service,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,630000,
1177,2015-01-07,NxtGen,Technology,IT infrastructure & Data Center services,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,470000,Series A
1188,2015-01-07,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,Ratan Tata,Private Equity,16600,Personal Investment
1234,2015-01-07,Parcelled,Logistics,Online Logistics Platform,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,1000000,
1422,2015-01-07,Retigence Technologies,Technology,Business IT Intelligence Services,Mumbai,Omnivore Partners,Private Equity,1000000,Series A
1419,2015-01-08,Ressy,Consumer Internet,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,300000,
1568,2015-01-08,Snapdeal,E-Commerce,Horizontal Online Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,60000000,Late Stage Round 7th (More details)
1002,2015-01-09,Luxuryhues,E-Commerce,Luxury goods?ò Shopping Platform,Gurgaon,Reliance Capital,Private Equity,6000000,Series A
23,2015-01-10,Abhibus,Consumer Internet,bus ticketing and fleet management platform,Hyderabad,Paytm (One97 communications),Private Equity,3000000,Strategic Investment
294,2015-01-10,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,Paytm (One97 communications),Private Equity,700000,
1928,2015-01-10,Wydr,E-Commerce,Performance based Wholesale Marketplace,New Delhi,Sandeep Aggarwal,Seed Funding,5000000,
166,2015-01-12,Biteclub,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,growX ventures,Private Equity,500000,Pre-Series A
172,2015-01-12,Black White Orange Brands,Others,Brand Licensing Startup,Mumbai,YouWeCan Ventures,Seed Funding,3000000,
313,2015-01-12,CollegeDekho,Consumer Internet,College & Student information platform,Jaipur,GirnarSoft,Seed Funding,6000000,
628,2015-01-12,Godof Hospitals,Consumer Internet,Digital Healthcare,New Delhi,Pankaj Gupta,Seed Funding,150000,
1240,2015-01-12,Patel Logistics,Logistics,Transportation & Logistics Platform,Mumbai,Frontline Strategy,Private Equity,6000000,
1896,2015-01-12,Wigzo,Technology,Enterprise Automation suite,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,300000,Pre-Series A
